Idioma,Total de juegos disponibles
english,158516
simplifiedchinese,166163
traditionalchinese,166163
japanese,48311
korean,166163
thai,12063
bulgarian,10224
czech,15397
danish,11863
german,57009
spanish,52737
spanishlatinamerica,166163
greek,10699
french,55478
italian,42444
indonesian,8152
